NAME,state,county,tract,mhi,mhi_moe,aggregate_income,aggregate_income_moe,lq_mean_income,lq_mean_income_moe,lq_upper_limit,lq_upper_limit_moe,mhi_owner,mhi_owner_moe,mhi_renter,mhi_renter_moe,population,population_moe,households,households_moe,avg_household_size,avg_household_size_moe,poverty_count,poverty_count_moe,poverty_universe,poverty_universe_moe,geoid,geo_level,acs_year,poverty_rate,mean_income,income_skew
Census Tract 170.22; San Diego County; California,06,073,017022,129265.0,23048.0,326391900.0,37453464.0,47855.0,12448.0,81722.0,13153.0,152577.0,30827.0,103567.0,20781.0,5545,545,2182,230,2.54,0.17,127,117,5490,540,06073017022,tract,2023,0.02313296903460838,149583.82218148487,1.1571873452325445
Census Tract 170.31; San Diego County; California,06,073,017031,151125.0,41318.0,208335400.0,28899325.0,38606.0,14776.0,68474.0,11554.0,147404.0,44994.0,151250.0,60186.0,3451,246,1271,78,2.7,0.14,110,91,3451,246,06073017031,tract,2023,0.03187481889307447,163914.55546813534,1.0846289857279428
Census Tract 170.33; San Diego County; California,06,073,017033,170805.0,10783.0,390707900.0,71286182.0,47286.0,9580.0,75467.0,15301.0,170805.0,10241.0,162500.0,119081.0,5723,787,1883,183,3.04,0.19,163,147,5723,787,06073017033,tract,2023,0.02848156561244103,207492.24641529474,1.2147902369093102
Census Tract 170.34; San Diego County; California,06,073,017034,117382.0,22519.0,292145100.0,57790225.0,37353.0,13614.0,70603.0,37745.0,176745.0,24470.0,92295.0,23153.0,5775,887,2031,261,2.84,0.15,136,99,5775,887,06073017034,tract,2023,0.02354978354978355,143842.9837518464,1.2254262472256938
Census Tract 170.35; San Diego County; California,06,073,017035,129861.0,16032.0,167667000.0,26048950.0,18149.0,6417.0,41183.0,14120.0,192292.0,27935.0,83125.0,57883.0,3406,415,1262,117,2.7,0.23,564,350,3406,415,06073017035,tract,2023,0.1655901350557839,132858.16164817748,1.0230797671986007
Census Tract 170.36; San Diego County; California,06,073,017036,129979.0,10882.0,164024900.0,30553933.0,49620.0,19823.0,88429.0,16058.0,127736.0,6834.0,137171.0,40564.0,2993,376,1069,108,2.8,0.2,96,65,2993,376,06073017036,tract,2023,0.03207484129635817,153437.6987839102,1.1804806836789803
Census Tract 170.37; San Diego County; California,06,073,017037,125909.0,17871.0,281472400.0,46808211.0,32427.0,12986.0,60071.0,25370.0,151914.0,40650.0,86897.0,26542.0,5400,549,1848,127,2.92,0.22,401,353,5400,549,06073017037,tract,2023,0.07425925925925926,152311.90476190476,1.209698311970588
Census Tract 170.39; San Diego County; California,06,073,017039,123836.0,18007.0,389376600.0,49991536.0,28971.0,12932.0,63583.0,27202.0,136667.0,28242.0,118585.0,34287.0,6693,868,2631,275,2.53,0.17,400,312,6693,868,06073017039,tract,2023,0.05976393246675631,147995.66704675028,1.1950940521879767
Census Tract 170.40; San Diego County; California,06,073,017040,150208.0,28350.0,251920100.0,34090002.0,41349.0,12645.0,78310.0,16536.0,165581.0,28576.0,,,4391,509,1499,157,2.9,0.28,263,199,4391,509,06073017040,tract,2023,0.059895240264176725,168058.77251501,1.1188403581367836
Census Tract 170.41; San Diego County; California,06,073,017041,141361.0,28459.0,319437200.0,43208111.0,43546.0,11699.0,70767.0,33339.0,166170.0,28872.0,106422.0,37342.0,5697,517,1881,184,3.03,0.15,107,80,5697,517,06073017041,tract,2023,0.018781814990345796,169823.07283359914,1.201343176927152
Census Tract 170.43; San Diego County; California,06,073,017043,192895.0,18646.0,466145100.0,70179612.0,53761.0,18512.0,105944.0,18953.0,225481.0,38276.0,129940.0,29792.0,5963,839,2144,200,2.78,0.21,289,152,5944,839,06073017043,tract,2023,0.04862045760430687,217418.4235074627,1.1271335364185837
Census Tract 170.44; San Diego County; California,06,073,017044,197917.0,35755.0,425424200.0,61026680.0,60810.0,14794.0,104600.0,20767.0,221510.0,43677.0,156991.0,98826.0,5584,581,1880,135,2.97,0.17,157,102,5584,581,06073017044,tract,2023,0.028116045845272206,226289.46808510637,1.1433553867788335
Census Tract 170.45; San Diego County; California,06,073,017045,228250.0,25118.0,199862000.0,20735182.0,69607.0,23223.0,124200.0,17390.0,226250.0,23630.0,250001.0,,2276,210,797,66,2.86,0.18,45,32,2276,210,06073017045,tract,2023,0.01977152899824253,250767.87954830614,1.0986544558523819
Census Tract 170.46; San Diego County; California,06,073,017046,174526.0,27953.0,319219200.0,43331150.0,55560.0,17340.0,96722.0,28730.0,186958.0,30896.0,135682.0,25337.0,3858,481,1401,144,2.74,0.18,134,99,3858,481,06073017046,tract,2023,0.03473302229134267,227850.9635974304,1.3055416591076998
Census Tract 170.47; San Diego County; California,06,073,017047,180729.0,20788.0,315337700.0,40605689.0,55537.0,14189.0,83985.0,16066.0,172237.0,26195.0,248438.0,51902.0,4500,592,1523,180,2.95,0.16,30,35,4485,592,06073017047,tract,2023,0.006688963210702341,207050.36112934997,1.1456399422856873
Census Tract 170.48; San Diego County; California,06,073,017048,98036.0,18727.0,270896700.0,34466774.0,32608.0,7681.0,50744.0,8338.0,153008.0,15231.0,71563.0,26369.0,6281,527,2155,128,2.91,0.21,487,339,6281,527,06073017048,tract,2023,0.07753542429549434,125706.1252900232,1.2822445355790038
Census Tract 170.49; San Diego County; California,06,073,017049,107917.0,18966.0,108452800.0,14601782.0,13787.0,12593.0,39571.0,38778.0,117120.0,20125.0,87386.0,19191.0,2793,321,922,111,3.01,0.38,255,91,2793,321,06073017049,tract,2023,0.09129967776584318,117627.76572668113,1.0899836515718666
Census Tract 170.50; San Diego County; California,06,073,017050,108424.0,16091.0,153856600.0,34671897.0,,,30083.0,9941.0,160294.0,34106.0,46042.0,24692.0,2958,456,1019,119,2.83,0.26,343,222,2892,456,06073017050,tract,2023,0.11860304287690179,150987.83120706576,1.3925683539351597
Census Tract 170.51; San Diego County; California,06,073,017051,129468.0,12873.0,318510600.0,49047692.0,43189.0,10777.0,78113.0,19096.0,130117.0,12500.0,120333.0,30694.0,4813,671,2157,243,2.23,0.19,201,128,4813,671,06073017051,tract,2023,0.041761894868065655,147663.69958275382,1.1405420612255832
Census Tract 170.52; San Diego County; California,06,073,017052,126588.0,28614.0,323143300.0,53987140.0,45334.0,12654.0,69747.0,20638.0,114671.0,44281.0,137986.0,36899.0,4921,656,2086,246,2.36,0.2,24,28,4921,656,06073017052,tract,2023,0.004877057508636456,154910.49856184085,1.2237376256978612
Census Tract 170.53; San Diego County; California,06,073,017053,210104.0,38283.0,285552700.0,45679376.0,57350.0,14321.0,82336.0,30732.0,217500.0,37978.0,178493.0,13748.0,3687,379,1191,147,3.07,0.16,58,41,3682,379,06073017053,tract,2023,0.015752308527973928,239758.7741393787,1.141143310643199
Census Tract 170.54; San Diego County; California,06,073,017054,159044.0,32706.0,361519600.0,84484223.0,30548.0,9879.0,54327.0,13891.0,171440.0,14782.0,74615.0,37899.0,5839,758,1973,222,2.72,0.16,159,157,5540,758,06073017054,tract,2023,0.028700361010830323,183233.45159655347,1.1520928271205042
Census Tract 170.55; San Diego County; California,06,073,017055,159434.0,25579.0,353239900.0,41747043.0,63727.0,13310.0,103316.0,14338.0,159545.0,24667.0,159355.0,40690.0,5037,616,1886,218,2.67,0.25,88,57,4994,610,06073017055,tract,2023,0.01762114537444934,187295.81124072112,1.1747545143490166
Census Tract 170.56; San Diego County; California,06,073,017056,111167.0,26266.0,255345300.0,31343041.0,36554.0,9579.0,60432.0,16486.0,191827.0,79826.0,89702.0,16061.0,4321,471,1794,156,2.31,0.19,316,181,4146,471,06073017056,tract,2023,0.07621804148576941,142332.9431438127,1.2803524710014007
Census Tract 170.57; San Diego County; California,06,073,017057,173750.0,31833.0,281588500.0,58213318.0,34450.0,19097.0,80905.0,41425.0,187454.0,28396.0,146875.0,50987.0,3831,713,1498,266,2.55,0.18,161,91,3830,713,06073017057,tract,2023,0.04203655352480418,187976.30173564752,1.081877995600849
Census Tract 170.58; San Diego County; California,06,073,017058,139076.0,35504.0,272850000.0,88320768.0,25365.0,9625.0,50667.0,9409.0,139145.0,23383.0,138750.0,77746.0,4284,825,1861,374,2.3,0.17,233,140,4284,825,06073017058,tract,2023,0.05438842203548086,146614.72326706073,1.0542057814940085
Census Tract 170.59; San Diego County; California,06,073,017059,89516.0,18805.0,177674600.0,30726242.0,19508.0,5269.0,32208.0,11208.0,96250.0,19310.0,,,3498,492,1614,170,2.17,0.18,338,197,3498,492,06073017059,tract,2023,0.09662664379645512,110083.39529120199,1.2297622245319495
Census Tract 170.60; San Diego County; California,06,073,017060,121205.0,48224.0,257425400.0,76519766.0,30071.0,11191.0,57750.0,23686.0,127875.0,60323.0,,,3222,717,1325,193,2.43,0.32,303,177,3222,717,06073017060,tract,2023,0.09404096834264432,194283.320754717,1.6029315684560619
Census Tract 170.61; San Diego County; California,06,073,017061,160126.0,36165.0,356222600.0,82122970.0,17008.0,9579.0,34154.0,37112.0,161970.0,37414.0,,,3335,844,1364,184,2.45,0.37,300,213,3335,844,06073017061,tract,2023,0.08995502248875563,261160.26392961876,1.6309672628406302
Census Tract 170.62; San Diego County; California,06,073,017062,246078.0,62616.0,502197500.0,94964378.0,66302.0,36518.0,123042.0,45448.0,245049.0,90557.0,250001.0,,4976,732,1578,169,3.13,0.31,129,109,4976,732,06073017062,tract,2023,0.02592443729903537,318249.36628643854,1.2932865444551669
Census Tract 170.63; San Diego County; California,06,073,017063,121015.0,16094.0,246811300.0,40354413.0,40877.0,12334.0,64000.0,16636.0,121923.0,32935.0,111208.0,46627.0,4346,609,1563,172,2.71,0.25,106,101,4228,609,06073017063,tract,2023,0.025070955534531692,157908.701215611,1.3048688279602612
Census Tract 170.64; San Diego County; California,06,073,017064,208167.0,91000.0,579406300.0,197252937.0,76865.0,22978.0,118014.0,26895.0,225833.0,112116.0,,,8518,2852,2252,493,3.78,0.54,63,106,8518,2852,06073017064,tract,2023,0.007396102371448697,257285.21314387213,1.2359558102094574
